sequencing_run_name,sample_name,fq_dir,r1_file,r2_file,reaction_group,temperature,replicate,reaction_time,probe,probe_concentration,RT,treated,buffer,construct,done_by,,,,,,
221123_M05164_0132_000000000-KP358,001-EKC-fourUnew-WT-II-37C-dms-stop-0-30,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,001-EKC-fourUnew-WT-II-37C-dms-stop-0-30_S1_L001_R1_001.fastq.gz,001-EKC-fourUnew-WT-II-37C-dms-stop-0-30_S1_L001_R2_001.fastq.gz,37_1,37,2,30,dms,0.015852692,SSIII,2,pH6.5_A,4U_wt,EKC,,,,,,
221123_M05164_0132_000000000-KP358,002-EKC-fourUnew-WT-II-37C-dms-stop-1,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,002-EKC-fourUnew-WT-II-37C-dms-stop-1_S2_L001_R1_001.fastq.gz,002-EKC-fourUnew-WT-II-37C-dms-stop-1_S2_L001_R2_001.fastq.gz,37_1,37,2,60,dms,0.015852692,SSIII,2,pH6.5_A,4U_wt,EKC,,,,,,
221123_M05164_0132_000000000-KP358,003-EKC-fourUnew-WT-II-37C-dms-stop-20,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,003-EKC-fourUnew-WT-II-37C-dms-stop-20_S3_L001_R1_001.fastq.gz,003-EKC-fourUnew-WT-II-37C-dms-stop-20_S3_L001_R2_001.fastq.gz,37_1,37,2,1200,dms,0.015852692,SSIII,2,pH6.5_A,4U_wt,EKC,,,,,,
221123_M05164_0132_000000000-KP358,004-EKC-fourUnew-WT-II-37C-dms-stop-40,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,004-EKC-fourUnew-WT-II-37C-dms-stop-40_S4_L001_R1_001.fastq.gz,004-EKC-fourUnew-WT-II-37C-dms-stop-40_S4_L001_R2_001.fastq.gz,37_1,37,2,2400,dms,0.015852692,SSIII,2,pH6.5_A,4U_wt,EKC,,,,,,
221123_M05164_0132_000000000-KP358,005-EKC-fourUnew-WT-II-37C-dms-stop-60,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,005-EKC-fourUnew-WT-II-37C-dms-stop-60_S5_L001_R1_001.fastq.gz,005-EKC-fourUnew-WT-II-37C-dms-stop-60_S5_L001_R2_001.fastq.gz,37_1,37,2,3600,dms,0.015852692,SSIII,2,pH6.5_A,4U_wt,EKC,,,,,,
221123_M05164_0132_000000000-KP358,006-EKC-fourUnew-WT-II-37C-dms-stop-90,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,006-EKC-fourUnew-WT-II-37C-dms-stop-90_S6_L001_R1_001.fastq.gz,006-EKC-fourUnew-WT-II-37C-dms-stop-90_S6_L001_R2_001.fastq.gz,37_1,37,2,5400,dms,0.015852692,SSIII,2,pH6.5_A,4U_wt,EKC,,,,,,
221123_M05164_0132_000000000-KP358,007-EKC-fourUnew-WT-II-37C-dms-stop-120,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,007-EKC-fourUnew-WT-II-37C-dms-stop-120_S7_L001_R1_001.fastq.gz,007-EKC-fourUnew-WT-II-37C-dms-stop-120_S7_L001_R2_001.fastq.gz,37_1,37,2,7200,dms,0.015852692,SSIII,2,pH6.5_A,4U_wt,EKC,,,,,,
221123_M05164_0132_000000000-KP358,008-EKC-fourUnew-WT-II-37C-dms-stop-150,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,008-EKC-fourUnew-WT-II-37C-dms-stop-150_S8_L001_R1_001.fastq.gz,008-EKC-fourUnew-WT-II-37C-dms-stop-150_S8_L001_R2_001.fastq.gz,37_1,37,2,9000,dms,0.015852692,SSIII,2,pH6.5_A,4U_wt,EKC,,,,,,
221123_M05164_0132_000000000-KP358,009-EKC-fourUnew-A8C-II-37C-dms-stop-030,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,009-EKC-fourUnew-A8C-II-37C-dms-stop-030_S9_L001_R1_001.fastq.gz,009-EKC-fourUnew-A8C-II-37C-dms-stop-030_S9_L001_R2_001.fastq.gz,37_2_A8C,37,2,30,dms,0.015852692,SSIII,2,pH6.5_A,4U_a8c,EKC,,,,,,
221123_M05164_0132_000000000-KP358,010-EKC-fourUnew-A8C-II-37C-dms-stop-1,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,010-EKC-fourUnew-A8C-II-37C-dms-stop-1_S10_L001_R1_001.fastq.gz,010-EKC-fourUnew-A8C-II-37C-dms-stop-1_S10_L001_R2_001.fastq.gz,37_2_A8C,37,2,60,dms,0.015852692,SSIII,2,pH6.5_A,4U_a8c,EKC,,,,,,
221123_M05164_0132_000000000-KP358,011-EKC-fourUnew-A8C-II-37C-dms-stop-20,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,011-EKC-fourUnew-A8C-II-37C-dms-stop-20_S11_L001_R1_001.fastq.gz,011-EKC-fourUnew-A8C-II-37C-dms-stop-20_S11_L001_R2_001.fastq.gz,37_2_A8C,37,2,1200,dms,0.015852692,SSIII,2,pH6.5_A,4U_a8c,EKC,,,,,,
221123_M05164_0132_000000000-KP358,012-EKC-fourUnew-A8C-II-37C-dms-stop-40,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,012-EKC-fourUnew-A8C-II-37C-dms-stop-40_S12_L001_R1_001.fastq.gz,012-EKC-fourUnew-A8C-II-37C-dms-stop-40_S12_L001_R2_001.fastq.gz,37_2_A8C,37,2,2400,dms,0.015852692,SSIII,2,pH6.5_A,4U_a8c,EKC,,,,,,
221123_M05164_0132_000000000-KP358,013-EKC-fourUnew-A8C-II-37C-dms-stop-60,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,013-EKC-fourUnew-A8C-II-37C-dms-stop-60_S13_L001_R1_001.fastq.gz,013-EKC-fourUnew-A8C-II-37C-dms-stop-60_S13_L001_R2_001.fastq.gz,37_2_A8C,37,2,3600,dms,0.015852692,SSIII,2,pH6.5_A,4U_a8c,EKC,,,,,,
221123_M05164_0132_000000000-KP358,014-EKC-fourUnew-A8C-II-37C-dms-stop-90,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,014-EKC-fourUnew-A8C-II-37C-dms-stop-90_S14_L001_R1_001.fastq.gz,014-EKC-fourUnew-A8C-II-37C-dms-stop-90_S14_L001_R2_001.fastq.gz,37_2_A8C,37,2,5400,dms,0.015852692,SSIII,2,pH6.5_A,4U_a8c,EKC,,,,,,
221123_M05164_0132_000000000-KP358,015-EKC-fourUnew-A8C-II-37C-dms-stop-120,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,015-EKC-fourUnew-A8C-II-37C-dms-stop-120_S15_L001_R1_001.fastq.gz,015-EKC-fourUnew-A8C-II-37C-dms-stop-120_S15_L001_R2_001.fastq.gz,37_2_A8C,37,2,7200,dms,0.015852692,SSIII,2,pH6.5_A,4U_a8c,EKC,,,,,,
221123_M05164_0132_000000000-KP358,016-EKC-fourUnew-A8C-II-37C-dms-stop-150,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,016-EKC-fourUnew-A8C-II-37C-dms-stop-150_S16_L001_R1_001.fastq.gz,016-EKC-fourUnew-A8C-II-37C-dms-stop-150_S16_L001_R2_001.fastq.gz,37_2_A8C,37,2,9000,dms,0.015852692,SSIII,2,pH6.5_A,4U_a8c,EKC,,,,,,
221123_M05164_0132_000000000-KP358,017-EKC-fourUnew-WT-II-37C-dms-MaP-0-30,/projects/b1044/Sequencing/SHAPE-Seq/EKC/221123_M05164_0132_000000000-KP358,017-EKC-fourUnew-WT-II-37C-dms-MaP-0-30_S17_L001_R1_001.fastq.gz,017-EKC-fourUnew-WT-II-37C-dms-MaP-0-30_S17_L001_R2_001.fastq.gz,37_2,37,2,30,dms,0.015852692,MRT,2,pH6.5_A,4U_wt,EKC,,,,,,
