component	version	license	distributed_artifact	distributed_sha256	corresponding_source_url	corresponding_source_sha256	status
ShapeMapper2	2.3 (runtime reports 2.3.0)	MIT	shapemapper2-2.3.tar.gz	c3f14fdd782266522b377b1c22986b98cf9949164ec3f4d582fbe65da5e53ec6	https://github.com/Weeks-UNC/shapemapper2/releases/download/v2.3/shapemapper2-2.3.tar.gz	c3f14fdd782266522b377b1c22986b98cf9949164ec3f4d582fbe65da5e53ec6	Release contains source and bundled binaries; MIT notice retained
Bowtie2	2.3.4.3	GPL-3.0-only	bowtie2-2.3.4.3-linux-x86_64.zip	d6c608d882a0fc121ee4b81f900cba05ef5d2b8b49d4dd7588f7c51aa5a6e11b	https://codeload.github.com/BenLangmead/bowtie2/tar.gz/refs/tags/v2.3.4.3	f10fc386277677329f4b9d1cb6951e6b8e6c125f07438476bd3653c79ad00b07	Versioned source and build scripts verified; preserve as release source artifact
STAR	2.5.2a	GPL-3.0	star-2.5.2a-0.tar.bz2	7af6e4aa48ade269e4e9435da02ce01dae45c8072af8a0045fde131d5f6c3da2	https://codeload.github.com/alexdobin/STAR/tar.gz/refs/tags/2.5.2a	2a372d9bcab1dac8d35cbbed3f0ab58291e4fbe99d6c1842b094ba7449d55476	Exact Conda package contains its recipe; recipe copies the static binary from this source release
Ghostscript	9.25	AGPL-3.0-or-later	ghostscript-9.25.tar.gz (prebuilt Linux binary archive)	bc730e16aa3379744e852a350ec57941059edc92534f46e46868693b1f3ba222	https://github.com/ArtifexSoftware/ghostpdl-downloads/releases/download/gs925/ghostscript-9.25.tar.gz	baafa64740b090bff50b220a6df3be95c46069b7e30f4b4effed28316e5b2389	Official source is AGPL; ShapeMapper's adjacent COPYING is GPLv3, so retain both and document the mismatch
BBMap/BBMerge	37.78	UC-LBL permissive	bbmap-37.78-0.tar.bz2	dd8dcf31f2fdffd22a79583d4ba56f7da21beb20282118fb8750402f4d4e23a2	https://downloads.sourceforge.net/project/bbmap/BBMap_37.78.tar.gz	f2da19f64d2bfb7db4c0392212668b425c96a27c77bd9d88d8f0aea90a193509	Exact Conda package, source, recipe, and license verified; installed package also contains Java source
pv	1.6.20	Artistic-2.0	pv-1.6.20.tar.gz	b5f1ee79a370c5287e092b6e8f1084f026521fe0aecf25c44b9460b870319a9e	embedded in ShapeMapper release: internals/thirdparty/pv-1.6.20.tar.gz	b5f1ee79a370c5287e092b6e8f1084f026521fe0aecf25c44b9460b870319a9e	Bundled archive is source and contains Artistic 2.0 COPYING
Graphviz	7.1.0	EPL-1.0	graphviz-7.1.0-h2e5815a_0.conda	cecaa9e6dce7f2df042768d9a794f0126565a30384fcd59879e107d760bed7f1	https://gitlab.com/graphviz/graphviz/-/archive/7.1.0/graphviz-7.1.0.tar.gz	8b28a283644a8442e6925b15d95055228d25172c7c30681810625616cbb23913	Exact Conda package contains recipe and patches; preserve both package and source
Azul Zulu OpenJDK	8.0.112 / Zulu 8.19.0.1	GPL-2.0 with Classpath Exception and additional notices	openjdk-8.0.112-zulu8.19.0.1_3.tar.bz2	14e90e90593065802e36147c801ed89c12924b695059aecc179a756eaf5386da	https://codeload.github.com/openjdk/jdk8u/tar.gz/64ad20c00f850c3ed4c796c72ade483460a7897f	62447a6609b46055b80ad6c9b22a99f60d240bc63bfb5274d05bc811f5dfeca7	Upstream 8u112-b16 baseline verified but not confirmed as complete corresponding source for Azul build d0cf8daf3adb; public-release gap
Miniconda/Conda	Conda 4.3.21	BSD-3-Clause plus per-package licenses	miniconda.sh	e9089c735b4ae53cb1035b1a97cec9febe6decf76868383292af589218304a90	see conda-packages.tsv		Installer notice retained; all 218 embedded package records require their own license/source treatment
Debian base	bookworm-slim linux/amd64	mixed	debian:bookworm-slim@sha256:362e64223cc0da95422b3b13c045186fc0a81250e765d31c025fbddf257f6143	sha256:362e64223cc0da95422b3b13c045186fc0a81250e765d31c025fbddf257f6143	https://sources.debian.org/		Retain /usr/share/doc copyright files and map exact binary packages to Debian sources before public release
